2026-03-02 00:44:05 | MODIFIED | C:\ProgramData\Microsoft\Search\Data\Applications\Windows\Windows-gather.db-wal
2026-03-02 00:44:12 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.846.aodl
2026-03-02 00:44:12 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.846.aodl
2026-03-02 00:44:12 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.846.aodl
2026-03-02 00:44:12 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.846.aodl
2026-03-02 00:44:12 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.846.aodl
2026-03-02 00:44:12 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.846.aodl
2026-03-02 00:44:12 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.846.aodl
2026-03-02 00:44:12 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.846.aodl
2026-03-02 00:44:13 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.846.aodl
2026-03-02 00:44:13 | MODIFIED | C:\Windows\Panther\monitor\WinSetupMon.log
2026-03-02 00:44:13 | CREATED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.847.aodl
2026-03-02 00:44:13 | MODIFIED | C:\ProgramData\Microsoft\Search\Data\Applications\Windows\Windows-gather.db-wal
2026-03-02 00:44:13 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.847.aodl
2026-03-02 00:44:13 | MODIFIED | C:\Windows\Panther\monitor\WinSetupMon.log
2026-03-02 00:44:13 | CREATED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.848.aodl
2026-03-02 00:44:13 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.848.aodl
2026-03-02 00:44:13 | MODIFIED | C:\Windows\Panther\monitor\WinSetupMon.log
2026-03-02 00:44:13 | CREATED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.849.aodl
2026-03-02 00:44:13 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.849.aodl
2026-03-02 00:44:13 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.849.aodl
2026-03-02 00:44:13 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.849.aodl
2026-03-02 00:44:13 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.849.aodl
2026-03-02 00:44:13 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.849.aodl
2026-03-02 00:44:13 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.849.aodl
2026-03-02 00:44:13 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.849.aodl
2026-03-02 00:44:13 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.849.aodl
2026-03-02 00:44:13 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\settings\Personal\SettingsDatabase.db-wal
2026-03-02 00:44:14 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\settings\Personal\SyncEngineDatabase.db-wal
2026-03-02 00:44:15 | MODIFIED | C:\Windows\Prefetch\PYTHON.EXE-D34C85E2.pf
2026-03-02 00:44:15 | MODIFIED | C:\Windows\Prefetch\PYTHON.EXE-D34C85E2.pf
2026-03-02 00:44:15 | MODIFIED | C:\Windows\Prefetch\PYTHON.EXE-F984279B.pf
2026-03-02 00:44:15 | MODIFIED | C:\Windows\Prefetch\PYTHON.EXE-F984279B.pf
2026-03-02 00:44:15 | CREATED | C:\Users\hp world\AppData\Roaming\Code\User\globalStorage\storage.json.vsctmp
2026-03-02 00:44:15 | MODIFIED | C:\Users\hp world\AppData\Roaming\Code\User\globalStorage\storage.json.vsctmp
2026-03-02 00:44:15 | MODIFIED | C:\Windows\Panther\monitor\WinSetupMon.log
2026-03-02 00:44:16 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.849.aodl
2026-03-02 00:44:16 | MODIFIED | C:\Windows\Panther\monitor\WinSetupMon.log
2026-03-02 00:44:16 | CREATED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.850.aodl
2026-03-02 00:44:16 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.850.aodl
2026-03-02 00:44:16 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.850.aodl
2026-03-02 00:44:17 | MODIFIED | C:\Windows\Temp\_avg_\nsfsp0000000F.tmp
2026-03-02 00:44:17 | MODIFIED | C:\Windows\Temp\_avg_\nsfsp0000000F.tmp
2026-03-02 00:44:17 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.850.aodl
2026-03-02 00:44:17 | MODIFIED | C:\Windows\Panther\monitor\WinSetupMon.log
2026-03-02 00:44:17 | CREATED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.851.aodl
2026-03-02 00:44:17 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.851.aodl
2026-03-02 00:44:17 | MODIFIED | C:\ProgramData\Microsoft\Search\Data\Applications\Windows\Windows-gather.db-wal
2026-03-02 00:44:18 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.851.aodl
2026-03-02 00:44:18 | MODIFIED | C:\Windows\Panther\monitor\WinSetupMon.log
2026-03-02 00:44:18 | CREATED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.852.aodl
2026-03-02 00:44:18 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.852.aodl
2026-03-02 00:44:18 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.852.aodl
2026-03-02 00:44:18 | MODIFIED | C:\Windows\Panther\monitor\WinSetupMon.log
2026-03-02 00:44:18 | CREATED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.853.aodl
2026-03-02 00:44:18 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.853.aodl
2026-03-02 00:44:19 | MODIFIED | C:\Users\hp world\AppData\Local\Google\Chrome\User Data\Default\Network\Cookies-journal
2026-03-02 00:44:19 | MODIFIED | C:\Users\hp world\AppData\Local\Google\Chrome\User Data\Default\Network\Cookies-journal
2026-03-02 00:44:19 | MODIFIED | C:\Users\hp world\AppData\Local\Google\Chrome\User Data\Default\Network\Cookies
2026-03-02 00:44:19 | MODIFIED | C:\Users\hp world\AppData\Local\Google\Chrome\User Data\Default\Network\Cookies-journal
2026-03-02 00:44:19 | MODIFIED | C:\Users\hp world\AppData\Local\Google\Chrome\User Data\Default\Network\Cookies-journal
2026-03-02 00:44:19 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.853.aodl
2026-03-02 00:44:19 | MODIFIED | C:\Windows\Panther\monitor\WinSetupMon.log
2026-03-02 00:44:19 | CREATED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.854.aodl
2026-03-02 00:44:19 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.854.aodl
2026-03-02 00:44:19 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.854.aodl
2026-03-02 00:44:19 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.854.aodl
2026-03-02 00:44:19 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.854.aodl
2026-03-02 00:44:19 | MODIFIED | C:\Windows\Temp\_avg_\nsfsp00000010.tmp
2026-03-02 00:44:19 | MODIFIED | C:\Windows\Temp\_avg_\nsfsp0000000B.tmp
2026-03-02 00:44:19 | MODIFIED | C:\Windows\System32\Display.dll
2026-03-02 00:44:19 | MODIFIED | C:\Windows\System32\en-US\Display.dll.mui
2026-03-02 00:44:19 | MODIFIED | C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\oregres.dll
2026-03-02 00:44:19 | MODIFIED | C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\en-us\oregres.dll.mui
2026-03-02 00:44:19 | MODIFIED | C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.PowerToys.PowerRenameContextMenu_0.69.1.0_neutral__8wekyb3d8bbwe\S-1-5-21-2117505682-998817313-2681526960-1001.pckgdep
2026-03-02 00:44:19 | MODIFIED | C:\Program Files\Microsoft OneDrive\26.017.0126.0002\Assets\Square44x44Logo.altform-unplated_targetsize-24.png
2026-03-02 00:44:19 | MODIFIED | C:\Users\hp world\AppData\Local\Packages\Microsoft.PowerToys.PowerRenameContextMenu_8wekyb3d8bbwe\SystemAppData\Helium\User.dat
2026-03-02 00:44:19 | MODIFIED | C:\Users\hp world\AppData\Local\Packages\Microsoft.PowerToys.PowerRenameContextMenu_8wekyb3d8bbwe\SystemAppData\Helium\UserClasses.dat
2026-03-02 00:44:19 | MODIFIED | C:\ProgramData\Packages\Microsoft.PowerToys.PowerRenameContextMenu_8wekyb3d8bbwe\S-1-5-21-2117505682-998817313-2681526960-1001\SystemAppData\Helium\Cache
2026-03-02 00:44:19 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.854.aodl
2026-03-02 00:44:19 | MODIFIED | C:\ProgramData\Packages\Microsoft.PowerToys.PowerRenameContextMenu_8wekyb3d8bbwe\S-1-5-21-2117505682-998817313-2681526960-1001\SystemAppData\Helium\Cache\3d431036a46cf16e_COM15.dat
2026-03-02 00:44:19 | MODIFIED | C:\Windows\Panther\monitor\WinSetupMon.log
2026-03-02 00:44:19 | CREATED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.855.aodl
2026-03-02 00:44:19 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.855.aodl
2026-03-02 00:44:19 | MODIFIED | C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\S-1-5-21-2117505682-998817313-2681526960-1001.pckgdep
2026-03-02 00:44:20 | MODIFIED | C:\Windows\SystemApps\MicrosoftWindows.Client.FileExp_cw5n1h2txyewy\FileExplorerExtensions\Assets\images\contrast-standard\theme-dark\View.svg
2026-03-02 00:44:20 | MODIFIED | C:\Windows\SystemApps\MicrosoftWindows.Client.FileExp_cw5n1h2txyewy\FileExplorerExtensions\Assets\images\contrast-standard\theme-dark\windows.sortbycolumn.svg
2026-03-02 00:44:20 | MODIFIED | C:\Users\hp world\AppData\Local\Packages\Microsoft.WindowsTerminal_8wekyb3d8bbwe\SystemAppData\Helium\User.dat
2026-03-02 00:44:20 | MODIFIED | C:\Windows\SystemApps\MicrosoftWindows.Client.FileExp_cw5n1h2txyewy\FileExplorerExtensions\Assets\images\contrast-standard\theme-dark\windows.refresh.svg
2026-03-02 00:44:20 | MODIFIED | C:\Users\hp world\AppData\Local\Packages\Microsoft.WindowsTerminal_8wekyb3d8bbwe\SystemAppData\Helium\UserClasses.dat
2026-03-02 00:44:20 | MODIFIED | C:\ProgramData\Packages\Microsoft.WindowsTerminal_8wekyb3d8bbwe\S-1-5-21-2117505682-998817313-2681526960-1001\SystemAppData\Helium\Cache
2026-03-02 00:44:20 | MODIFIED | C:\Windows\SystemApps\MicrosoftWindows.Client.FileExp_cw5n1h2txyewy\FileExplorerExtensions\Assets\images\contrast-standard\theme-dark\windows.newitem.svg
2026-03-02 00:44:20 | MODIFIED | C:\ProgramData\Packages\Microsoft.WindowsTerminal_8wekyb3d8bbwe\S-1-5-21-2117505682-998817313-2681526960-1001\SystemAppData\Helium\Cache\3a3ad21182641916_COM15.dat
2026-03-02 00:44:20 | MODIFIED | C:\Windows\SystemApps\MicrosoftWindows.Client.FileExp_cw5n1h2txyewy\FileExplorerExtensions\Assets\images\contrast-standard\theme-dark\DisplaySettings.svg
2026-03-02 00:44:20 | MODIFIED | C:\Windows\SystemApps\MicrosoftWindows.Client.FileExp_cw5n1h2txyewy\FileExplorerExtensions\Assets\images\contrast-standard\theme-dark\Personalize.svg
2026-03-02 00:44:20 | MODIFIED | C:\Windows\SystemApps\MicrosoftWindows.Client.FileExp_cw5n1h2txyewy\FileExplorerExtensions\Assets\images\contrast-standard\theme-dark\expandtoclassic.svg
2026-03-02 00:44:20 | MODIFIED | C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.VisualStudioCode_1.0.109.5_neutral__8wekyb3d8bbwe\S-1-5-21-2117505682-998817313-2681526960-1001.pckgdep
2026-03-02 00:44:20 | MODIFIED | C:\ProgramData\Packages\Microsoft.VisualStudioCode_8wekyb3d8bbwe\S-1-5-21-2117505682-998817313-2681526960-1001\SystemAppData\Helium\Cache
2026-03-02 00:44:20 | MODIFIED | C:\ProgramData\Packages\Microsoft.VisualStudioCode_8wekyb3d8bbwe\S-1-5-21-2117505682-998817313-2681526960-1001\SystemAppData\Helium\Cache\c5f498fe06ad08e6_COM15.dat
2026-03-02 00:44:20 | MODIFIED | C:\Users\hp world\AppData\Local\Google\Chrome\User Data\Default\Network\Reporting and NEL-journal
2026-03-02 00:44:20 | MODIFIED | C:\Users\hp world\AppData\Local\Google\Chrome\User Data\Default\Network\Reporting and NEL-journal
2026-03-02 00:44:20 | MODIFIED | C:\Users\hp world\AppData\Local\Google\Chrome\User Data\Default\Network\Reporting and NEL
2026-03-02 00:44:20 | MODIFIED | C:\Users\hp world\AppData\Local\Google\Chrome\User Data\Default\Network\Reporting and NEL-journal
2026-03-02 00:44:20 | MODIFIED | C:\Windows\SysWOW64\uxtheme.dll
2026-03-02 00:44:20 | MODIFIED | C:\Windows\SysWOW64\Windows.StateRepositoryCore.dll
2026-03-02 00:44:20 | MODIFIED | C:\Windows\SysWOW64\oleaut32.dll
2026-03-02 00:44:20 | MODIFIED | C:\Program Files\Microsoft OneDrive\26.017.0126.0002\FileSyncShell64.dll
2026-03-02 00:44:20 | MODIFIED | C:\ProgramData\Packages\Microsoft.OneDriveSync_8wekyb3d8bbwe\S-1-5-21-2117505682-998817313-2681526960-1001\SystemAppData\Helium\Cache\cfb7526c20df1279_COM15.dat
2026-03-02 00:44:20 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.855.aodl
2026-03-02 00:44:20 | MODIFIED | C:\Windows\Panther\monitor\WinSetupMon.log
2026-03-02 00:44:20 | CREATED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.856.aodl
2026-03-02 00:44:20 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.856.aodl
2026-03-02 00:44:20 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.856.aodl
2026-03-02 00:44:20 | MODIFIED | C:\Windows\System32\microsoft-windows-system-events.dll
2026-03-02 00:44:20 | MODIFIED | C:\Windows\System32\LicenseManager.dll
2026-03-02 00:44:21 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.856.aodl
2026-03-02 00:44:21 | MODIFIED | C:\Windows\Panther\monitor\WinSetupMon.log
2026-03-02 00:44:21 | CREATED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.857.aodl
2026-03-02 00:44:21 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.857.aodl
2026-03-02 00:44:21 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.857.aodl
2026-03-02 00:44:21 | MODIFIED | C:\Users\hp world\AppData\Local\Microsoft\OneDrive\logs\Personal\SyncEngine-2026-03-01.1914.3556.857.aodl
