file,path,verdict,fusion_prob,avg_behavior,avg_artifact,entropy,shadow_del,signed,size_anomaly
VirusShare_1b1d23e70616ed34619bc73447215eb0.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_1b1d23e70616ed34619bc73447215eb0.exe,RANSOMWARE,0.9994,0.9969,0.6579,5.71,0,0,0
VirusShare_1a0e3c9efd661fb7abf0db987331e2da.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_1a0e3c9efd661fb7abf0db987331e2da.exe,RANSOMWARE,0.9993,0.9969,0.6579,5.88,0,0,0
VirusShare_0feb9271e5a9a97f09f442186f2aa811.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_0feb9271e5a9a97f09f442186f2aa811.exe,RANSOMWARE,0.9994,0.9974,0.6579,5.82,0,0,0
VirusShare_0e4c40c9c9921673242963ccd664ab91.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_0e4c40c9c9921673242963ccd664ab91.exe,RANSOMWARE,0.9994,0.9974,0.6579,5.82,0,0,0
VirusShare_0d6e5af3e094754bb2e596e8c06eb184.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_0d6e5af3e094754bb2e596e8c06eb184.exe,RANSOMWARE,0.9998,0.9963,0.943,5.76,0,0,0
VirusShare_0b619b5e89f2d912623ebf3bcc703f92.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_0b619b5e89f2d912623ebf3bcc703f92.exe,RANSOMWARE,0.9994,0.9969,0.6579,5.61,0,0,0
VirusShare_9b46031a47b3d594e2a19b351a60445e.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_9b46031a47b3d594e2a19b351a60445e.exe,RANSOMWARE,0.9707,0.8633,0.9226,6.22,0,0,0
VirusShare_8f345ce2dd61f233c853d0e24d997dea.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_8f345ce2dd61f233c853d0e24d997dea.exe,RANSOMWARE,0.9674,0.9282,0.7158,6.29,0,0,0
VirusShare_3f95cd627317aae9ba40897d01c125d9.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_3f95cd627317aae9ba40897d01c125d9.exe,RANSOMWARE,0.8542,0.1549,0.8662,6.17,0,0,0
VirusShare_4c79d46d9cc2c196443d9897bf7953f0.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_4c79d46d9cc2c196443d9897bf7953f0.exe,RANSOMWARE,0.9983,0.995,0.2458,7.94,0,0,0
VirusShare_2db534058bb54a3c84f85c27186f4994.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_2db534058bb54a3c84f85c27186f4994.exe,RANSOMWARE,0.9944,0.955,0.7806,5.38,0,0,0
VirusShare_1f0b523cea8e54a76fa2811fee12dc55.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_1f0b523cea8e54a76fa2811fee12dc55.exe,RANSOMWARE,0.996,0.9384,0.943,6.27,0,0,0
VirusShare_00eaeac88792c519edfa92794fab3596.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_00eaeac88792c519edfa92794fab3596.exe,RANSOMWARE,0.9998,1.0,0.9777,7.76,0,0,1
VirusShare_10f0eaa794f48ad0b15034e0683cb15f.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_10f0eaa794f48ad0b15034e0683cb15f.exe,RANSOMWARE,0.9925,0.8736,0.9692,6.42,0,0,1
VirusShare_9c7a6f0bc3a9f786cfabd4962b99a280.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_9c7a6f0bc3a9f786cfabd4962b99a280.exe,RANSOMWARE,0.9965,0.9891,0.2458,7.78,0,0,0
VirusShare_07ce95aeaab7fb4b6630ac576a98b883.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_07ce95aeaab7fb4b6630ac576a98b883.exe,RANSOMWARE,0.999,0.9942,0.9744,6.68,0,0,0
VirusShare_6c6c85390c0e2c4a270129e7a2d88532.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_6c6c85390c0e2c4a270129e7a2d88532.exe,RANSOMWARE,0.9998,1.0,0.947,7.96,0,0,0
VirusShare_4dd97ad1d5a5ac0040580933466044be.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_4dd97ad1d5a5ac0040580933466044be.exe,RANSOMWARE,0.9998,0.9995,0.9944,7.06,0,0,0
VirusShare_3ed3fb296a477156bc51aba43d825fc0.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_3ed3fb296a477156bc51aba43d825fc0.exe,RANSOMWARE,0.9966,0.9924,0.2458,7.66,0,0,0
VirusShare_3c0dc771b4652799ee6b9945fc55fe30.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_3c0dc771b4652799ee6b9945fc55fe30.exe,RANSOMWARE,0.9818,0.8396,0.0195,7.12,0,0,0
VirusShare_2ee3a97cdcaeca3a539cddbbffbb6b59.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_2ee3a97cdcaeca3a539cddbbffbb6b59.exe,RANSOMWARE,0.9459,0.9171,0.7806,6.77,0,0,0
VirusShare_2b7cb57714a01bd5f4a182be2a615e0f.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_2b7cb57714a01bd5f4a182be2a615e0f.exe,RANSOMWARE,0.999,0.9838,0.9952,7.02,0,0,0
VirusShare_0dfd45af14c6abff59e905ade61a4b75.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_0dfd45af14c6abff59e905ade61a4b75.exe,RANSOMWARE,0.9985,0.983,0.906,5.61,0,0,1
VirusShare_00cb45c4efd4053cef8bb8567dc0638e.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_00cb45c4efd4053cef8bb8567dc0638e.exe,RANSOMWARE,0.9718,0.9521,0.6579,6.4,0,0,0
VirusShare_7c2178efeb46238c79a31854a2831d23.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_7c2178efeb46238c79a31854a2831d23.exe,RANSOMWARE,0.9998,1.0,0.995,8.0,0,0,0
VirusShare_5eec2a408bd473700b38c9e9ed9a09c8.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_5eec2a408bd473700b38c9e9ed9a09c8.exe,RANSOMWARE,0.9996,0.9972,0.9979,7.63,0,0,0
VirusShare_4a54ada98072c3d14bef401b895a85b7.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_4a54ada98072c3d14bef401b895a85b7.exe,RANSOMWARE,0.9998,0.9995,0.9925,7.6,0,0,0
VirusShare_3e91855aac7b3ebbb5a8aedbe97ed300.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_3e91855aac7b3ebbb5a8aedbe97ed300.exe,RANSOMWARE,0.9998,0.9984,0.9953,7.85,0,0,1
VirusShare_09c6d60131421b2b5214e23f646ee5ca.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_09c6d60131421b2b5214e23f646ee5ca.exe,RANSOMWARE,0.9812,0.9432,0.8187,6.73,0,0,0
VirusShare_08fdc8aabedcc0304eafd4e490f2af9c.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_08fdc8aabedcc0304eafd4e490f2af9c.exe,RANSOMWARE,0.9998,1.0,0.995,8.0,0,0,0
VirusShare_8c7948bfcfd1c888aad45ff254de1470.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_8c7948bfcfd1c888aad45ff254de1470.exe,RANSOMWARE,0.9968,0.9751,0.9764,7.88,0,0,1
VirusShare_4d59500137431d5cf10851d128bc6153.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_4d59500137431d5cf10851d128bc6153.exe,RANSOMWARE,0.9844,0.9817,0.7158,6.38,0,0,0
VirusShare_9d83ee8128b5903d8e7c3bbb7a3fb0ea.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_9d83ee8128b5903d8e7c3bbb7a3fb0ea.exe,RANSOMWARE,0.9872,0.9113,0.8968,6.35,0,0,1
VirusShare_8f65f44ff95707a9022787640c17a90e.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_8f65f44ff95707a9022787640c17a90e.exe,RANSOMWARE,0.9966,0.9499,0.8845,5.22,0,0,0
VirusShare_8bd61c883e9ffc637c7dd0bf7ab93d6b.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_8bd61c883e9ffc637c7dd0bf7ab93d6b.exe,RANSOMWARE,0.9998,0.9969,0.9911,7.0,0,0,1
VirusShare_7b9df531f3629833d76b04868c5bacac.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_7b9df531f3629833d76b04868c5bacac.exe,RANSOMWARE,0.9966,0.9499,0.8845,5.22,0,0,0
VirusShare_7b7f6d272f3c07cd10db43441df927e7.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_7b7f6d272f3c07cd10db43441df927e7.exe,RANSOMWARE,0.7507,0.2405,0.0195,6.56,0,0,0
VirusShare_6e75b65401c1d9b1d4d618185039337d.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_6e75b65401c1d9b1d4d618185039337d.exe,RANSOMWARE,0.9947,0.9298,0.8187,5.27,0,0,0
VirusShare_2b47adbf1f3b02331b5fe85ea23957b9.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_2b47adbf1f3b02331b5fe85ea23957b9.exe,RANSOMWARE,0.9991,0.9935,0.9654,5.49,0,0,0
VirusShare_1fef57960b311cbc30723cecb607664d.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_1fef57960b311cbc30723cecb607664d.exe,RANSOMWARE,0.9947,0.9817,0.7952,6.42,0,0,0
VirusShare_0b397b70a4404ae8deadec8be37a5678.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_0b397b70a4404ae8deadec8be37a5678.exe,RANSOMWARE,0.9966,0.9499,0.8845,5.22,0,0,0
VirusShare_0a92daa19f2cc77a21cdbf8db6d8bb68.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_0a92daa19f2cc77a21cdbf8db6d8bb68.exe,RANSOMWARE,0.998,0.991,0.8187,6.77,0,0,0
VirusShare_5e26e8e6dd6a45717da6e8e4b2f7395c.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_5e26e8e6dd6a45717da6e8e4b2f7395c.exe,RANSOMWARE,0.996,0.8894,0.9691,4.52,0,0,0
VirusShare_5d43544a409561ea9f1ce2c433dd20dc.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_5d43544a409561ea9f1ce2c433dd20dc.exe,RANSOMWARE,0.9988,0.9918,0.991,4.74,0,0,0
VirusShare_05b7b47dbff50a61d3e4a3d87336420f.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_05b7b47dbff50a61d3e4a3d87336420f.exe,RANSOMWARE,0.9998,1.0,0.9777,7.85,0,0,1
VirusShare_4dcf16184f8d4d6ab0a2c6f315f0dbc6.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_4dcf16184f8d4d6ab0a2c6f315f0dbc6.exe,RANSOMWARE,0.9998,0.9984,0.9649,7.99,0,0,0
VirusShare_4bdd96b0dc720303b4758a63d124e442.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_4bdd96b0dc720303b4758a63d124e442.exe,RANSOMWARE,0.9998,0.9984,0.9764,7.76,0,0,1
VirusShare_2fde49072741d59fd941b494403b9b0f.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_2fde49072741d59fd941b494403b9b0f.exe,RANSOMWARE,0.9994,0.9972,0.9209,6.56,0,0,0
VirusShare_2d48e92bf0138239c84647434c354750.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_2d48e92bf0138239c84647434c354750.exe,RANSOMWARE,0.7419,0.2405,0.0195,6.54,0,0,0
VirusShare_1e502579936d80f217bf77ee765924a3.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_1e502579936d80f217bf77ee765924a3.exe,RANSOMWARE,0.9813,0.581,0.9701,6.71,0,0,0
VirusShare_0b124adc061b628ce6d64ddd69a13823.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_0b124adc061b628ce6d64ddd69a13823.exe,RANSOMWARE,0.9867,0.8495,0.9808,7.32,0,0,0
VirusShare_9e18353c821ccdae2bd7c8df6c01ef6d.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_9e18353c821ccdae2bd7c8df6c01ef6d.exe,RANSOMWARE,0.9998,1.0,0.995,8.0,0,0,0
VirusShare_7e95248a4f730949ad6b20a19ac50d43.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_7e95248a4f730949ad6b20a19ac50d43.exe,RANSOMWARE,0.9998,1.0,0.995,8.0,0,0,0
VirusShare_7df99268235872d7f38ffd6cd7aa21de.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_7df99268235872d7f38ffd6cd7aa21de.exe,RANSOMWARE,0.9993,0.9936,0.9856,7.74,0,0,0
VirusShare_6f37ae3aa6d1c75b7d0267cdf48c3f52.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_6f37ae3aa6d1c75b7d0267cdf48c3f52.exe,RANSOMWARE,0.9971,0.9917,0.9943,6.77,0,0,0
VirusShare_1cce49d3957d3a9fc389bab8e49217d0.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_1cce49d3957d3a9fc389bab8e49217d0.exe,RANSOMWARE,0.9998,1.0,0.9923,7.77,0,0,0
VirusShare_0cbbc84418d0d80e91a2fddee2f39b20.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_0cbbc84418d0d80e91a2fddee2f39b20.exe,RANSOMWARE,0.9998,1.0,0.995,8.0,0,0,0
VirusShare_8c44ee1470a0a94a9f9920aded66baec.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_8c44ee1470a0a94a9f9920aded66baec.exe,RANSOMWARE,0.9902,0.9647,0.9925,7.39,0,0,0
VirusShare_0f500e3a44872c918594b000ec4b5cce.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_0f500e3a44872c918594b000ec4b5cce.exe,RANSOMWARE,0.9985,0.9784,0.9654,5.61,0,0,0
VirusShare_13a3cf270ba77345424942db2f56b745.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_13a3cf270ba77345424942db2f56b745.exe,RANSOMWARE,0.9985,0.9918,0.9226,5.79,0,0,0
VirusShare_6b48e1d28524dc278bdf711e032abe8e.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_6b48e1d28524dc278bdf711e032abe8e.exe,RANSOMWARE,0.9998,0.9984,0.9953,7.85,0,0,1
VirusShare_05eecaa5da9783239e0b2c131529be45.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_05eecaa5da9783239e0b2c131529be45.exe,RANSOMWARE,0.9998,0.9995,0.9923,7.97,0,0,1
VirusShare_5aa59865848c750167f3bad72327baa3.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_5aa59865848c750167f3bad72327baa3.exe,RANSOMWARE,0.9997,0.9938,0.9919,6.8,0,0,0
VirusShare_3bf150a96a529d80f76d9408a449d5a4.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_3bf150a96a529d80f76d9408a449d5a4.exe,RANSOMWARE,0.9773,0.9561,0.9862,7.94,0,0,0
VirusShare_0f7bb32006babd7a85c7b38f372b7403.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_0f7bb32006babd7a85c7b38f372b7403.exe,RANSOMWARE,0.9998,1.0,0.9777,7.76,0,0,1
VirusShare_0a9ac980591eda5434f0916c1f66183a.exe,/home/heph/Documents/code/rdef/rdefender/samples/test/ransomware copy/VirusShare_0a9ac980591eda5434f0916c1f66183a.exe,RANSOMWARE,0.9988,0.9918,0.991,4.75,0,0,0
