file,fusion_prob,actual,verdict,pb_rf,pa_rf,pb_xgb,pa_xgb,pb_lgbm,pa_lgbm,pb_cat,pa_cat,avg_behavior,avg_artifact,entropy,size_anomaly,shadow_del,signed,num_imports,disagreement
gnsdk_fp.dll,0.7,BENIGN,RANSOMWARE,0.2917,0.9635,0.3234,0.7816,0.3405,0.7787,0.8832,0.8294,0.4597,0.8383,6.82,0,0,0,86,0.3786
NSIS.exe,0.7181,BENIGN,RANSOMWARE,0.3288,0.9531,0.0745,0.7816,0.068,0.7787,0.8879,0.9538,0.3398,0.8668,6.54,1,0,0,162,0.527
modemui.dll,0.7,BENIGN,RANSOMWARE,0.0186,0.8939,0.0405,0.7348,0.0265,0.7053,0.4693,0.8294,0.1387,0.7908,5.84,0,0,0,166,0.6521
Sourceforge_7745.exe,0.8388,BENIGN,RANSOMWARE,0.0943,0.0209,0.2575,0.0255,0.2479,0.0246,0.0558,0.0226,0.1639,0.0234,6.96,0,0,0,1,0.1405
Sourceforge_6858.exe,0.7533,BENIGN,RANSOMWARE,0.0628,0.0209,0.1612,0.0255,0.2099,0.0246,0.0541,0.0226,0.122,0.0234,3.01,0,0,0,1,0.0986
TableTextService.dll,0.7,BENIGN,RANSOMWARE,0.0154,0.9129,0.0139,0.756,0.0105,0.7696,0.0578,0.7887,0.0244,0.8068,4.12,0,0,0,196,0.7824
useroobe.dll,0.7,BENIGN,RANSOMWARE,0.0073,0.9635,0.0,0.7816,0.0002,0.7787,0.0,0.8294,0.0019,0.8383,6.2,0,0,0,352,0.8364
CNET_250657.exe,0.7,BENIGN,RANSOMWARE,0.0161,0.0047,0.0271,0.008,0.0388,0.0076,0.0305,0.0026,0.0281,0.0058,6.09,0,1,0,1,0.0223
Windows_33.exe,0.7,BENIGN,RANSOMWARE,0.0177,0.0047,0.0377,0.008,0.039,0.0076,0.0547,0.0026,0.0373,0.0058,6.06,0,1,0,1,0.0315
rdrleakdiag.exe,0.5267,BENIGN,SUSPICIOUS,0.0216,0.2795,0.0055,0.4886,0.0209,0.3671,0.2063,0.3633,0.0636,0.3746,5.64,1,0,0,131,0.311
Sourceforge_7732.exe,0.8141,BENIGN,RANSOMWARE,0.067,0.0209,0.2575,0.0255,0.2564,0.0246,0.0603,0.0226,0.1603,0.0234,6.96,0,0,0,1,0.1369
unins000.exe,0.7,BENIGN,RANSOMWARE,0.0699,0.6759,0.0518,0.7017,0.0482,0.6522,0.1165,0.9943,0.0716,0.756,6.58,0,0,0,583,0.6844
Sourceforge_2621.exe,0.6899,BENIGN,RANSOMWARE,0.1289,0.0209,0.1616,0.0255,0.1443,0.0246,0.0547,0.0226,0.1224,0.0234,6.91,0,0,0,1,0.099
mintty.exe,0.7,BENIGN,RANSOMWARE,0.0194,0.8801,0.0277,0.854,0.052,0.8527,0.0328,0.9066,0.033,0.8733,5.72,0,0,0,470,0.8403
widevinecdm.dll,0.7737,BENIGN,RANSOMWARE,0.8568,0.1821,0.6157,0.2244,0.5299,0.4647,0.8863,0.3186,0.7222,0.2974,7.69,1,0,0,181,0.4247
