file,fusion_prob,actual,pb_rf,pa_rf,pb_xgb,pa_xgb,entropy,size_anomaly,shadow_del,signed,disagreement
CNET_101677.exe,0.75,BENIGN,0.0738,0.8385,0.0091,0.8538,7.61,0,0,0,0.8048
CNET_222887.exe,0.75,BENIGN,0.0729,0.8385,0.0129,0.8538,7.64,0,0,0,0.8033
Sourceforge_1736.exe,0.75,BENIGN,0.0738,0.2392,0.1041,0.2495,7.7,0,0,0,0.1555
fdlauncher.exe,0.75,BENIGN,0.3513,0.1794,0.0577,0.0561,6.41,1,0,0,0.0867
Sourceforge_4738.exe,0.75,BENIGN,0.0831,0.2392,0.0738,0.2495,7.79,0,0,0,0.1659
CNET_33582.exe,0.75,BENIGN,0.1037,0.0256,0.0376,0.0106,7.87,0,0,0,0.0525
Sourceforge_6447.exe,0.75,BENIGN,0.0687,0.2392,0.0577,0.2495,7.87,0,0,0,0.1812
CNET_33932.exe,0.75,BENIGN,0.0714,0.7525,0.0111,0.8504,7.97,0,0,0,0.7602
CNET_264179.exe,0.75,BENIGN,0.0104,0.2392,0.0072,0.2495,7.72,0,0,0,0.2356
CNET_236281.exe,0.9862,BENIGN,0.8044,0.7292,0.9687,0.9489,7.31,0,0,0,0.0475
dtshost.exe,0.75,BENIGN,0.15,0.6649,0.0105,0.4704,6.53,1,0,0,0.4874
CNET_29137.exe,0.75,BENIGN,0.0104,0.0256,0.0072,0.0106,7.91,0,0,0,0.0093
ftp.exe,0.75,BENIGN,0.3116,0.7749,0.3741,0.37,6.34,1,0,0,0.2296
PrintBrmUi.exe,0.75,BENIGN,0.1395,0.974,0.0239,0.9514,5.68,0,0,0,0.881
Sourceforge_5662.exe,0.75,BENIGN,0.0889,0.8385,0.0129,0.8538,7.89,0,0,0,0.7953
CNET_10961.exe,0.75,BENIGN,0.0889,0.8385,0.0105,0.8538,7.13,0,0,0,0.7965
CNET_24361.exe,0.75,BENIGN,0.0211,0.2392,0.006,0.2495,7.85,0,0,0,0.2308
CNET_100747.exe,0.75,BENIGN,0.0249,0.2392,0.0091,0.2495,7.74,0,0,0,0.2274
106.exe,0.75,BENIGN,0.0679,0.2392,0.0072,0.2495,7.98,0,0,0,0.2068
CNET_224793.exe,0.9815,BENIGN,0.7271,0.9925,0.6501,0.9987,7.63,1,0,0,0.307
Sourceforge_3957.exe,0.75,BENIGN,0.0211,0.1794,0.0099,0.2167,7.66,0,0,0,0.1826
CNET_208532.exe,0.75,BENIGN,0.0157,0.2392,0.006,0.2495,7.86,0,0,0,0.2335
CNET_252654.exe,0.75,BENIGN,0.1259,0.0256,0.0536,0.0106,7.89,0,0,0,0.0716
Sourceforge_1897.exe,0.6853,BENIGN,0.4075,0.5417,0.4262,0.316,6.0,0,0,0,0.012
Sourceforge_7714.exe,0.75,BENIGN,0.0889,0.8385,0.1041,0.8538,7.5,0,0,0,0.7497
AcroBroker.exe,0.9361,BENIGN,0.8847,0.1806,0.9676,0.019,6.61,0,0,1,0.8263
Sourceforge_7687.exe,0.75,BENIGN,0.0889,0.8385,0.0707,0.8538,7.69,0,0,0,0.7664
CNET_102510.exe,0.75,BENIGN,0.1364,0.2392,0.193,0.2495,7.79,0,0,0,0.0797
1000.exe,0.75,BENIGN,0.0889,0.2392,0.0253,0.2495,7.97,0,0,0,0.1873
CNET_38167.exe,0.75,BENIGN,0.1364,0.0256,0.0707,0.0106,8.0,0,0,0,0.0854
CNET_37771.exe,0.75,BENIGN,0.0104,0.0256,0.0072,0.0106,7.91,0,0,0,0.0093
1415.exe,0.75,BENIGN,0.0932,0.2392,0.0105,0.2495,7.81,0,0,0,0.1925
CNET_33703.exe,0.75,BENIGN,0.0104,0.0256,0.0072,0.0106,7.91,0,0,0,0.0093
Sourceforge_7413.exe,0.75,BENIGN,0.068,0.2392,0.0361,0.2495,7.79,0,0,0,0.1923
CNET_30212.exe,0.75,BENIGN,0.0104,0.0256,0.0072,0.0106,7.91,0,0,0,0.0093
1789.exe,0.75,BENIGN,0.1656,0.1841,0.0463,0.1957,7.73,0,0,0,0.084
Sourceforge_1595.exe,0.75,BENIGN,0.1259,0.1794,0.1041,0.2167,7.9,0,0,0,0.0831
Sourceforge_5467.exe,0.75,BENIGN,0.076,0.2392,0.0686,0.2495,7.71,0,0,0,0.172
Sourceforge_5852.exe,0.75,BENIGN,0.0687,0.2392,0.0214,0.2495,7.89,0,0,0,0.1993
CNET_234376.exe,0.9713,BENIGN,0.9602,0.7525,0.8209,0.8504,7.96,0,0,0,0.0891
CNET_204657.exe,0.75,BENIGN,0.0303,0.8385,0.0165,0.8538,6.66,0,0,0,0.8228
958.exe,0.75,BENIGN,0.0889,0.2392,0.0469,0.2495,7.87,0,0,0,0.1765
Sourceforge_2376.exe,0.75,BENIGN,0.0211,0.2392,0.0099,0.2495,7.67,0,0,0,0.2289
Sourceforge_6365.exe,0.651,BENIGN,0.006,0.3833,0.0091,0.4596,5.67,0,0,0,0.414
softonic34.exe,0.75,BENIGN,0.3354,0.0228,0.3665,0.0026,7.78,0,0,0,0.3382
1352.exe,0.75,BENIGN,0.0157,0.2392,0.009,0.2495,7.69,0,0,0,0.2321
CNET_19100.exe,0.75,BENIGN,0.1764,0.2392,0.2173,0.2495,7.98,0,0,0,0.0476
CNET_253578.exe,0.75,BENIGN,0.1006,0.2392,0.031,0.2495,7.97,0,0,0,0.1786
Sourceforge_5463.exe,0.75,BENIGN,0.0738,0.2392,0.0686,0.2495,7.71,0,0,0,0.1732
Sourceforge_5348.exe,0.8896,BENIGN,0.0157,0.3833,0.0707,0.4596,6.15,0,0,0,0.3783
Sourceforge_2378.exe,0.75,BENIGN,0.1559,0.1841,0.0129,0.1957,7.7,0,0,0,0.1055
Sourceforge_7294.exe,0.75,BENIGN,0.3481,0.6649,0.1621,0.3119,6.37,1,0,0,0.2333
Sourceforge_5521.exe,0.75,BENIGN,0.0211,0.498,0.0105,0.5184,7.78,0,0,0,0.4924
CNET_39888.exe,0.75,BENIGN,0.2329,0.0256,0.209,0.0106,7.99,0,0,0,0.2029
CNET_219872.exe,0.75,BENIGN,0.1006,0.2392,0.031,0.2495,7.97,0,0,0,0.1786
Sourceforge_1519.exe,0.75,BENIGN,0.0675,0.2392,0.0091,0.2495,7.68,0,0,0,0.2061
clamwallsetup.exe,0.75,BENIGN,0.6722,0.9265,0.4998,0.9386,7.97,0,0,0,0.3466
Sourceforge_1217.exe,0.6502,BENIGN,0.1909,0.2392,0.3972,0.2495,5.43,0,0,0,0.0496
Sourceforge_1496.exe,0.847,BENIGN,0.4479,0.238,0.4991,0.3369,3.74,0,0,0,0.1861
Sourceforge_1738.exe,0.75,BENIGN,0.0729,0.2392,0.0355,0.2495,7.71,0,0,0,0.1902
Sourceforge_6501.exe,0.75,BENIGN,0.1364,0.8385,0.0367,0.8538,7.88,0,0,0,0.7596
Sourceforge_7542.exe,0.75,BENIGN,0.1364,0.8385,0.0367,0.8538,7.88,0,0,0,0.7596
Sourceforge_2422.exe,0.75,BENIGN,0.063,0.2392,0.0129,0.2495,7.8,0,0,0,0.2064
CNET_204119.exe,0.75,BENIGN,0.0738,0.0256,0.0448,0.0106,7.89,0,0,0,0.0412
CNET_33583.exe,0.75,BENIGN,0.0889,0.0256,0.0469,0.0106,7.9,0,0,0,0.0498
Uninstall.exe,0.9977,BENIGN,0.9635,0.9879,0.9431,0.9472,6.08,1,0,0,0.0142
CNET_12478.exe,0.75,BENIGN,0.1288,0.033,0.0803,0.0026,7.98,0,0,1,0.0867
dialer.exe,0.75,BENIGN,0.1761,0.9767,0.0091,0.9701,5.59,1,0,0,0.8808
CNET_250657.exe,0.75,BENIGN,0.0687,0.0,0.0239,0.0,6.09,0,1,1,0.0463
CNET_243855.exe,0.75,BENIGN,0.0104,0.2392,0.0072,0.2495,7.86,0,0,0,0.2356
Sourceforge_3256.exe,0.75,BENIGN,0.1263,0.2392,0.1041,0.2495,7.9,0,0,0,0.1292
SELFCERT.EXE,0.9687,BENIGN,0.9139,0.6656,0.9663,0.8914,7.2,0,0,0,0.1616
cipher.exe,0.75,BENIGN,0.3015,0.6651,0.1804,0.2416,6.26,1,0,0,0.2124
Sourceforge_4327.exe,0.6964,BENIGN,0.0637,0.0181,0.2496,0.0186,5.05,0,0,0,0.1382
softonic99.exe,0.6824,BENIGN,0.1911,0.1835,0.6386,0.1957,7.82,0,0,0,0.2252
softonic94.exe,0.75,BENIGN,0.0687,0.2392,0.0105,0.2495,7.88,0,0,0,0.2048
Sourceforge_1742.exe,0.75,BENIGN,0.1656,0.1841,0.0463,0.1957,7.73,0,0,0,0.084
softonic38.exe,0.75,BENIGN,0.0536,0.8385,0.0129,0.8538,7.45,0,0,0,0.8129
CNET_22887.exe,0.75,BENIGN,0.1501,0.2214,0.0129,0.1961,6.41,1,0,0,0.1272
CNET_233356.exe,0.75,BENIGN,0.1395,0.1806,0.0253,0.131,6.22,1,0,0,0.0734
softonic148.exe,0.75,BENIGN,0.0729,0.7525,0.0129,0.8504,7.93,0,0,0,0.7585
CNET_225486.exe,0.75,BENIGN,0.0253,0.2392,0.0076,0.2495,7.98,0,0,0,0.228
CNET_38169.exe,0.75,BENIGN,0.1424,0.0256,0.1436,0.0106,7.99,0,0,0,0.1249
CNET_204652.exe,0.75,BENIGN,0.0285,0.8385,0.0091,0.8538,7.55,0,0,0,0.8274
CNET_253577.exe,0.75,BENIGN,0.0738,0.2392,0.0105,0.2495,7.96,0,0,0,0.2023
CNET_243709.EXE,0.75,BENIGN,0.1364,0.0256,0.1081,0.0106,7.97,0,0,0,0.1041
CNET_261511.exe,0.75,BENIGN,0.1761,0.0244,0.1436,0.0122,8.0,0,0,0,0.1416
Sourceforge_4422.exe,0.75,BENIGN,0.0687,0.2392,0.0129,0.2495,7.96,0,0,0,0.2035
CNET_242605.exe,0.75,BENIGN,0.0211,0.1835,0.009,0.1957,7.9,0,0,0,0.1746
CNET_44518.exe,0.75,BENIGN,0.0104,0.0256,0.0072,0.0106,7.91,0,0,0,0.0093
VMwareToolsUpgrader.exe,0.8515,BENIGN,0.9151,0.6984,0.7156,0.4462,6.37,0,0,0,0.2431
Sourceforge_3257.exe,0.75,BENIGN,0.1259,0.2392,0.1041,0.2495,7.89,0,0,0,0.1294
tabcal.exe,0.75,BENIGN,0.1946,0.965,0.0455,0.8538,5.7,1,0,0,0.7894
Sourceforge_4079.exe,0.75,BENIGN,0.115,0.2392,0.1146,0.2495,7.98,0,0,0,0.1296
CNET_33457.exe,0.75,BENIGN,0.0104,0.0256,0.0072,0.0106,7.91,0,0,0,0.0093
2352.exe,0.75,BENIGN,0.0253,0.2392,0.0072,0.2495,7.96,0,0,0,0.2281
mbxmaint_ui.exe,0.75,BENIGN,0.6026,0.3528,0.3583,0.167,6.52,1,0,0,0.2206
274.exe,0.75,BENIGN,0.1259,0.1794,0.1041,0.2167,7.9,0,0,0,0.0831
Sourceforge_3253.exe,0.75,BENIGN,0.1259,0.2392,0.1041,0.2495,7.89,0,0,0,0.1294
Sourceforge_2328.exe,0.75,BENIGN,0.0687,0.2392,0.0376,0.2495,7.66,0,0,0,0.1912
CNET_34060.exe,0.75,BENIGN,0.2923,0.0256,0.4039,0.0106,8.0,0,0,0,0.33
Sourceforge_848.exe,0.75,BENIGN,0.1275,0.2392,0.1041,0.2495,7.68,0,0,0,0.1286
